,show_name,country,num_episodes,aired_on,original_network,rating,current_overall_rank,lifetime_popularity_rank,watchers
73,Meteor Garden,China,50,"Monday, Tuesday, Wednesday",Hunan TV,8.0,1090.0,76,39545.0
74,He Is Psychometric,South Korea,16,"Monday, Tuesday",tvN,8.4,335.0,77,39365.0
75,Sassy Go Go,South Korea,12,"Monday, Tuesday",KBS2,8.2,640.0,78,39218.0
76,Memories of the Alhambra,South Korea,16,"Saturday, Sunday","tvN, Netflix",8.1,803.0,79,38674.0
77,Queen In Hyun's Man,South Korea,16,"Wednesday, Thursday",tvN,8.5,227.0,80,38582.0
78,Introverted Boss,South Korea,16,"Monday, Tuesday",tvN,7.9,1247.0,82,38309.0
79,Emergency Couple,South Korea,21,"Friday, Saturday",tvN,8.0,1145.0,83,38266.0
80,True Beauty,South Korea,16,"Wednesday, Thursday",tvN,8.4,272.0,84,38080.0
81,Hana Yori Dango,Japan,9,"Wednesday, Thursday",tvN,8.3,508.0,85,37920.0
82,School 2013,South Korea,16,"Monday, Tuesday",KBS2,8.2,533.0,86,37819.0
83,The Beauty Inside,South Korea,16,"Monday, Tuesday",jTBC,8.4,327.0,87,36945.0
84,Thirty But Seventeen,South Korea,32,"Monday, Tuesday",SBS,8.5,208.0,88,36850.0
85,The Innocent Man,South Korea,20,"Wednesday, Thursday",KBS2,8.1,743.0,89,36822.0
86,"Marriage, Not Dating",South Korea,16,"Friday, Saturday",tvN,8.2,653.0,90,36673.0
87,Shopping King Louie,South Korea,16,"Wednesday, Thursday",MBC,8.2,579.0,91,36601.0
88,Faith,South Korea,24,"Monday, Tuesday",SBS,8.1,793.0,92,36429.0
89,Angel's Last Mission: Love,South Korea,32,"Wednesday, Thursday",KBS2,8.293750000000001,259.0,93,52994.907216494845
90,Hospital Playlist,South Korea,12,Thursday,"tvN, Netflix",9.1,2.0,94,35599.0
91,Abyss,South Korea,16,"Monday, Tuesday","tvN, Netflix",7.8,1577.0,95,35580.0
92,A Korean Odyssey,South Korea,16,"Wednesday, Thursday","tvN, Netflix",9.1,12.0,96,35508.0
93,Another Miss Oh,South Korea,18,"Monday, Tuesday",tvN,8.3,469.0,97,35354.0
94,Flower of Evil,South Korea,16,"Wednesday, Thursday",tvN,9.1,4.0,98,34901.0
95,Shut Up: Flower Boy Band,South Korea,16,"Monday, Tuesday",tvN,8.1,806.0,99,34668.0
96,Blood,South Korea,20,"Monday, Tuesday",KBS2,7.4,3271.0,100,34666.0
97,Chicago Typewriter,South Korea,16,"Friday, Saturday",tvN,8.8,51.0,101,52994.907216494845
98,Sungkyunkwan Scandal,South Korea,20,"Monday, Tuesday",KBS2,8.2,605.0,102,34615.0
99,Vagabond,South Korea,16,"Friday, Saturday","SBS, Netflix",8.5,238.0,103,34523.0
